
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
170,Jurrell Casey,TEN,25,DT,16,16,,,,,,,,,,,5.0,68,45,23,13,18,
171,Antoine Cason,2TM,28,,14,11,2,81,0,80,6,4,0,2,0,0,,59,45,14,0,0,
172,LaRon Landry,IND,30,fs,11,6,,,,,,,,,,,2.5,63,45,18,5,5,
173,Corey Liuget,SDG,24,de/DT,16,16,0,0,0,0,2,2,0,2,0,1,4.5,57,45,12,13,9,
174,Bennie Logan,PHI,25,NT,16,16,0,0,0,0,1,1,0,0,0,0,,57,45,12,8,1,
175,Rashean Mathis,DET,34,CB/rcb,16,16,1,41,1,41,9,2,0,0,0,0,,54,45,9,0,0,
176,Byron Maxwell,SEA,26,RCB,13,12,2,23,0,21,12,0,0,1,0,0,,50,45,5,0,0,
177,Leodis McKelvin,BUF,29,LCB,10,9,4,10,0,9,8,1,1,0,0,0,,48,45,3,0,0,
178,Rahim Moore,DEN,24,FS/ss,16,16,4,36,0,19,5,1,0,1,0,0,,51,45,6,0,0,
179,Troy Polamalu,PIT,33,fs/SS,12,12,0,0,0,0,1,1,0,1,13,0,,69,45,24,5,1,
180,Rafael Bush,NOR,27,db/fs,10,7,0,0,0,0,2,,,,,,,55,44,11,2,0,
181,Darrelle Revis,NWE,29,LCB/rcb,16,16,2,0,0,0,14,1,0,1,0,0,,50,44,6,2,0,
182,Da'Norris Searcy,BUF,26,,15,13,3,70,0,32,4,1,0,1,0,0,0.5,65,44,21,1,3,
183,Lardarius Webb,BAL,29,LCB,13,11,1,0,0,0,8,,,,,,,55,44,11,0,0,
184,Kroy Biermann,ATL,29,DE/lb,16,15,0,0,0,0,2,1,0,0,0,0,4.5,77,43,34,8,9,
185,Derrick Morgan,TEN,25,LB,16,16,0,0,0,0,7,2,0,0,0,0,6.5,63,43,20,10,9,
186,D.J. Hayden,OAK,24,cb/lcb,10,8,1,-1,0,-1,10,,,,,,,47,42,5,1,0,
187,James-Michael Johnson,KAN,25,RILB,16,9,0,0,0,0,1,1,0,0,0,0,,51,42,9,4,0,
188,Demetrius McCray,JAX,23,LCB,16,12,0,0,0,0,3,,,,,,,49,42,7,1,0,
189,Sheldon Richardson,NYJ,24,DT/t,16,16,0,0,0,0,1,1,0,1,0,0,8.0,66,42,24,11,21,1
190,Kyle Arrington,NWE,28,cb/db/rcb,14,4,0,0,0,0,4,2,0,1,9,1,1.0,49,41,8,1,0,
191,Johnthan Banks,TAM,25,CB,15,14,4,69,1,32,10,,,,,,,50,41,9,1,1,
192,Brian Cushing,HOU,27,lb/MLB,14,14,0,0,0,0,2,1,0,0,0,0,1.0,72,41,31,1,9,
193,Quintin Demps,NYG,29,FS,16,9,4,19,0,10,7,1,2,0,0,0,,57,41,16,1,0,
194,Carlos Dunlap,CIN,25,DE,16,16,0,0,0,0,5,2,0,1,0,0,8.0,68,41,27,16,28,
195,Roman Harper,CAR,32,rcb/SS,16,16,4,43,1,31,10,1,0,0,0,0,1.0,67,41,26,0,1,
196,Christian Jones,CHI,23,lb,16,5,0,0,0,0,1,0,0,1,2,0,2.0,69,41,28,3,3,
197,Jason Worilds,PIT,26,LOLB,16,16,1,30,0,30,2,1,0,2,0,0,7.5,62,41,21,10,22,
198,Trent Cole,PHI,32,LB,15,15,,,,,,3,0,0,0,0,6.5,52,40,12,8,10,
199,Mason Foster,TAM,25,MLB,10,10,0,0,0,0,2,,,,,,,62,40,22,2,1,
200,Bradley McDougald,TAM,24,ss,15,5,1,0,0,0,7,,,,,,,50,40,10,0,0,
201,Kevin Minter,ARI,24,lb,16,5,,,,,,,,,,,1.0,45,40,5,5,3,
202,Josh Norman,CAR,27,RCB,14,10,2,60,0,33,11,1,1,1,0,0,,54,40,14,0,0,
203,Brandian Ross,2TM,25,,14,10,2,7,0,7,6,1,0,0,0,0,,55,40,15,1,2,
204,Darian Stewart,BAL,26,FS,16,14,1,0,0,0,3,1,0,1,0,0,,56,40,16,1,1,
205,Darrin Walls,NYJ,26,CB/s,14,12,2,25,0,25,12,,,,,,,40,40,0,1,0,
206,Ezekiel Ansah,DET,25,DE,16,16,,,,,,3,0,0,0,0,7.5,51,39,12,13,26,
207,Dwayne Gratz,JAX,24,lcb/RCB,15,13,1,55,1,55,8,2,0,0,0,0,,55,39,16,1,0,
208,Everson Griffen,MIN,27,DE,16,16,0,0,0,0,3,1,0,0,0,0,12.0,56,39,17,14,24,
209,Mike Mohamed,HOU,26,lb,14,2,1,0,0,0,6,,,,,,,67,39,28,2,1,
210,Sterling Moore,DAL,24,cb/db,16,7,0,0,0,0,12,1,0,2,17,0,,50,39,11,1,0,
211,Robert Quinn,STL,24,DE,16,16,0,0,0,0,6,5,0,0,0,0,10.5,46,39,7,13,20,
212,Xavier Rhodes,MIN,24,RCB,16,16,1,0,0,0,18,,,,,,,48,39,9,5,0,
213,Coty Sensabaugh,TEN,26,cb,13,6,0,0,0,0,6,0,0,1,0,0,1.0,47,39,8,1,1,
214,Terrell Suggs,BAL,32,LB,16,16,0,0,0,0,1,0,0,1,0,0,12.0,69,39,30,16,20,1
215,Manti Te'o,SDG,23,lb,10,6,1,0,0,0,3,,,,,,1.0,61,39,22,3,1,
216,Duke Williams,BUF,24,rcb,16,4,1,34,0,34,3,1,0,2,3,0,,53,39,14,1,2,
217,Antwon Blake,PIT,24,lcb,16,1,1,0,0,0,6,1,0,1,0,0,,43,38,5,0,0,
218,Chris Culliver,SFO,26,RCB,14,14,4,61,0,29,14,1,0,1,35,1,,45,38,7,0,0,
219,Andrew Gachkar,SDG,26,lb,15,5,0,0,0,0,1,0,0,1,13,1,1.0,49,38,11,8,1,
220,Stephon Gilmore,BUF,24,RCB,14,14,3,61,0,27,6,1,0,0,0,0,,46,38,8,3,0,
221,Ramon Humber,NOR,27,lb,15,6,0,0,0,0,1,,,,,,1.0,50,38,12,2,2,
222,Dontari Poe,KAN,24,NT,16,16,0,0,0,0,1,,,,,,6.0,46,38,8,4,8,
223,Nickell Robey-Coleman,BUF,22,cb/db/mlb,16,7,0,0,0,0,7,0,0,2,2,0,1.0,47,38,9,3,1,
224,Josh Robinson,MIN,23,cb,16,5,3,22,0,23,8,,,,,,,40,38,2,0,0,
225,Jared Allen,CHI,32,DE/dt,15,15,0,0,0,0,4,2,0,2,0,0,5.5,55,37,18,7,18,
226,Prince Amukamara,NYG,25,RCB,8,8,3,66,0,38,11,,,,,,,45,37,8,0,0,
227,T.J. Carrie,OAK,24,cb/lcb/rcb,13,4,1,28,0,28,9,1,2,2,0,0,,44,37,7,2,1,
228,William Compton,WAS,25,lb/mlb,16,5,,,,,,,,,,,,56,37,19,0,2,
