Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
215,Rudi Johnson,CIN,25,RB,16,16,28,15,53.6%,84,5.6,0,30,0.9,5.3,4
216,LaMont Jordan,NYJ,26,,16,0,16,15,93.8%,112,7.5,0,25,0.9,7.0,1
217,Reggie Kelly,CIN,27,TE,16,15,21,15,71.4%,85,5.7,0,14,0.9,5.3,0
218,Charles Lee,TAM,27,wr,7,3,22,15,68.2%,207,13.8,0,35,2.1,29.6,1
219,Brandon Manumaleuna,STL,24,TE,16,16,21,15,71.4%,174,11.6,1,48,0.9,10.9,0
220,Kassim Osgood,SDG,24,wr,16,7,33,15,45.5%,308,20.5,2,65,0.9,19.3,0
221,Emmitt Smith,ARI,35,RB,15,15,20,15,75.0%,105,7.0,0,18,1.0,7.0,4
222,Tyrone Wheatley,OAK,32,rb,8,7,15,15,100.0%,78,5.2,0,20,1.9,9.8,0
223,Kyle Brady,JAX,32,TE,11,8,23,14,60.9%,103,7.4,1,21,1.3,9.4,0
224,William Green,CLE,25,RB,15,13,22,14,63.6%,84,6.0,0,17,0.9,5.6,3
225,Bryan Johnson,CHI,26,fb/te,12,6,25,14,56.0%,55,3.9,2,14,1.2,4.6,0
226,Reno Mahe,PHI,24,,11,0,16,14,87.5%,123,8.8,0,30,1.3,11.2,1
227,Todd Yoder,JAX,26,TE,16,8,22,14,63.6%,157,11.2,0,56,0.9,9.8,0
228,Courtney Anderson,OAK,24,te,9,4,21,13,61.9%,175,13.5,1,28,1.4,19.4,0
229,Anthony Becht,NYJ,27,TE,16,16,28,13,46.4%,100,7.7,1,19,0.8,6.3,0
230,Lamar Gordon,MIA,24,rb,3,2,19,13,68.4%,74,5.7,0,20,4.3,24.7,1
231,Frisman Jackson,CLE,25,,10,0,19,13,68.4%,168,12.9,0,24,1.3,16.8,1
232,Donald Lee,MIA,24,TE,16,10,20,13,65.0%,110,8.5,1,15,0.8,6.9,2
233,Dane Looker,STL,28,,14,0,26,13,50.0%,183,14.1,0,29,0.9,13.1,1
234,Jason McKie,CHI,24,fb,15,2,17,13,76.5%,70,5.4,2,15,0.9,4.7,1
235,Travis Minor,MIA,25,rb,11,4,27,13,48.1%,75,5.8,0,20,1.2,6.8,0
236,Lorenzo Neal,SDG,34,FB,16,10,19,13,68.4%,66,5.1,0,12,0.8,4.1,1
237,Mike Seidman,CAR,23,te,16,6,13,13,100.0%,123,9.5,2,27,0.8,7.7,0
238,Tim Carter,NYG,25,,5,0,18,12,66.7%,182,15.2,1,38,2.4,36.4,0
239,Patrick Crayton,DAL,25,,8,0,15,12,80.0%,162,13.5,1,39,1.5,20.3,0
240,Justin Gage,CHI,23,wr,16,2,28,12,42.9%,156,13.0,0,32,0.8,9.8,0
241,Will Heller,TAM,23,te,10,2,16,12,75.0%,98,8.2,1,22,1.2,9.8,1
242,Sam Aiken,BUF,24,,16,0,18,11,61.1%,148,13.5,0,54,0.7,9.3,0
243,Tim Euhus,BUF,24,fb/te,12,5,15,11,73.3%,98,8.9,2,17,0.9,8.2,0
244,Justin Fargas,OAK,24,,12,0,14,11,78.6%,68,6.2,0,21,0.9,5.7,1
245,Joey Goodspeed,STL,26,fb,16,5,16,11,68.8%,71,6.5,0,13,0.7,4.4,1
246,Robert Holcombe,TEN,29,FB,16,8,21,11,52.4%,60,5.5,0,9,0.7,3.8,0
247,Dustin Lyman,CHI,28,TE,16,10,23,11,47.8%,73,6.6,1,13,0.7,4.6,0
248,Artose Pinner,DET,26,rb,9,2,11,11,100.0%,72,6.5,0,26,1.2,8.0,0
249,Alan Ricard,BAL,27,FB,16,9,14,11,78.6%,39,3.5,0,8,0.7,2.4,0
250,Peter Warrick,CIN,27,wr,4,1,17,11,64.7%,127,11.5,0,30,2.8,31.8,0
251,Jonathan Wells,HOU,25,rb,16,1,16,11,68.8%,79,7.2,2,28,0.7,4.9,1
252,Darian Barnes,DAL,24,FB,16,10,14,10,71.4%,59,5.9,1,14,0.6,3.7,1
253,Fred Beasley,SFO,30,FB,14,10,25,10,40.0%,44,4.4,0,9,0.7,3.1,0
254,Jonathan Carter,NYJ,25,wr,13,1,16,10,62.5%,173,17.3,1,46,0.8,13.3,2
255,Ernie Conwell,NOR,32,TE,16,11,19,10,52.6%,102,10.2,1,28,0.6,6.4,0
256,Casey Fitzsimmons,DET,24,te,16,2,14,10,71.4%,103,10.3,0,27,0.6,6.4,0
257,Quentin Griffin,DEN,23,rb,6,4,14,10,71.4%,68,6.8,1,22,1.7,11.3,3
258,Travis Henry,BUF,26,rb,10,5,14,10,71.4%,45,4.5,0,10,1.0,4.5,0
259,Bethel Johnson,NWE,25,wr,13,1,21,10,47.6%,174,17.4,1,48,0.8,13.4,2
260,Dan Kreider,PIT,27,FB,16,9,14,10,71.4%,75,7.5,1,13,0.6,4.7,0
